,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city
0,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
1,49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Richmond
2,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Coquitlam
3,49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,New Westminster
4,49.212659,-122.9193469,2019-07-02T01:10:30.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,New Westminster
5,49.1327053,-123.0991859,2019-08-24T15:12:34.000-07:00,restaurant,Nando's,Q3472954,chicken;portuguese,Nando's,Nando's,Richmond
6,49.1330103,-123.0955358,2019-08-24T15:12:34.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Richmond
7,49.2347493,-123.1547249,2019-09-24T19:58:50.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Vancouver
8,49.1398614,-123.137394,2019-02-27T00:17:55.000-08:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Richmond
9,49.1330851,-123.0940869,2019-08-24T15:12:34.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Richmond
10,49.1329977,-123.0973124,2019-08-24T15:12:34.000-07:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,Richmond
11,49.0919518,-122.9576502,2019-08-02T01:26:08.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Delta
12,49.278119,-122.9122848,2020-01-18T09:04:52.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby
13,49.2731066,-123.1007271,2020-02-05T20:20:15.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
14,49.2427149,-123.004048,2019-07-07T04:11:10.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby
15,49.2769081,-122.8589634,2020-02-12T23:53:44.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Port Moody
16,49.2875631,-123.129718,2019-09-18T23:00:49.000-07:00,restaurant,Cora,Q2996960,breakfast,Cora,Cora,Vancouver
17,49.2866006,-123.1282087,2019-08-23T07:46:30.000-07:00,cafe,Chatime,Q16829306,bubble_tea,Chatime,Chatime,Vancouver
18,49.2661113,-123.2420861,2019-05-29T17:24:51.000-07:00,fast_food,Pita Pit,Q7757289,pita,Pita Pit,Pita Pit,Electoral Area A
19,49.2873431,-123.1143935,2019-08-29T17:32:53.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
20,49.2387806,-123.0316319,2019-07-07T03:58:25.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
21,49.2686141,-123.158778,2019-08-29T18:37:06.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
22,49.285902899999996,-123.1249177,2019-08-28T07:25:01.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
23,49.2860886,-123.1252316,2019-08-28T07:25:01.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
24,49.2876133,-123.1149238,2019-11-25T23:07:41.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
25,49.212995,-123.1401,2019-05-29T17:48:57.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
26,49.3721579,-123.0988075,2019-06-09T12:39:41.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,None
27,49.1048167,-122.8022148,2019-09-23T20:08:40.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey
