,lat,lon,timestamp,amenity,name,brand:wikidata,addr:housenumber,brand:wikipedia,opening_hours,cuisine,addr:street,takeaway,brand,religion,operator,website,phone,addr:postcode,addr:city,wheelchair,level,description,backrest,source,self_service,addr:unit,internet_access,is_in:city,wikidata,alt_name,public_transport,ferry,email,capacity,network,leisure,material,inscription,historic,fuel:gasoline,seats,smoking,bus,tourism,addr:province,old_name,wikipedia:en,layer,short_name,artist_name,microbrewery,visibility,display,wikipedia,support,cargo,start_date,office,guide,rental,artwork_type,studio,addr:flats,faces,post_office:brand:wikidata,post_office:operator,information,post_office:brand:wikipedia,post_office:brand
0,49.2819978,-123.1243463,2019-03-22T02:51:06.000-07:00,cinema,Scotiabank Theatre Vancouver,,900,,,,Burrard Street,,,,Cineplex,https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver,+1-604-630-1407,V6Z 3G5,,,,,,,,,,Vancouver,Q38378292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49.3127437,-123.0827482,2019-03-19T06:08:10.000-07:00,cinema,Cineplex Cinemas Esplanade,,200,,,,West Esplanade,,,,Cineplex,https://www.cineplex.com/Theatre/cineplex-cinemas-esplanade,,V7M 1A4,,,,,,,,,,North Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49.2098186,-123.1157123,2019-02-20T02:36:04.000-08:00,cinema,Cineplex Cinemas Marine Gateway and VIP,,452,,,,South West Marine Drive,,,,Cineplex,https://www.cineplex.com/Theatre/cineplex-cinemas-marine-gateway-and-vip,+1-604-630-0414,V5X 0C3,,,,,,,,,,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49.0582354,-122.3780877,2019-04-27T20:37:04.000-07:00,cinema,Cineplex Cinemas Abbotsford and VIP,,3122,,,,Mount Lehman Road,,,,Cineplex,https://www.cineplex.com/Theatre/cineplex-cinemas-abbotsford-and-vip,+1-604-504-9701,,,,2,,,,,J200,,Abbotsford,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
5,49.1147981,-122.7250233,2019-02-19T00:55:24.000-08:00,school,Lord Tweedsmuir Secondary School,,,,,,180 Street,,,,,,,,,,,,,,,,,,Q14874671,,,,,,,,,,,,,,,,,,Lord Tweedsmuir Secondary School,,,,,,,,,,,,,,,,,,,,,,
6,49.2799912,-123.1164576,2020-03-08T23:06:19.000-07:00,theatre,The Centre For Performing Arts,,777,,,,Homer Street,,,,,,,V6B 2W1,Vancouver,,,,,,,,,,Q38378369,,,,,,,,,,,,,,,,BC,,,,The Centre,,,,,,,,,,,,,,,,,,,,
7,49.2843841,-123.1088901,2018-02-01T22:41:54.000-08:00,clock,Gastown Steam Clock,,305,,,,Water Street,,,,,,,,,yes,,,,,,,,,Q477663,,,,,,,,,,monument,,,,,attraction,,,,,,,,street,analog,en:Steam clock#Gastown steam clock,ground,,,,,,,,,,,,,,
8,49.3095361,-123.0838831,2020-03-25T06:16:23.000-07:00,ferry_terminal,Lonsdale Quay,,,,,,,,,,,,,,,yes,,,,,,,,,Q28233228,,station,yes,,,,,,,,,,,,,,,,,,,,,,en:Lonsdale Quay (TransLink),,passengers,,,,,,,,,,,,,
9,49.2785849,-123.0706042,2018-10-14T19:44:52.000-07:00,theatre,York Theatre,,639,,,,Commercial Drive,,,,,http://yorktheatre.ca/,,V5L 2W2,,,,,,,,,,,Q38378460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,49.2037107,-123.1375228,2019-09-13T13:56:59.000-07:00,theatre,Metro Theatre,,1370,,,,Southwest Marine Drive,,,,,https://metrotheatre.com/,+1-604-266-7191,V6P 5Z9,Vancouver,,,,,,,,,,Q38378154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,49.281078,-123.1231792,2017-10-22T15:20:33.000-07:00,courthouse,Court of Appeal & Supreme Court,,800,,,,Smithe Street,,,,,,,,Vancouver,,,,,,,,,,Q6503009,Law Courts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,49.24655,-123.1270994,2019-09-13T13:57:03.000-07:00,place_of_worship,Congregation Beth Israel,,989,,,,West 28th Avenue,,,jewish,,,,V5Z 0E8,Vancouver,,,,,,,,,,Q5160626,,,,,,,,,,,,,,,,,,,,,,,,,en:Congregation_Beth_Israel_(Vancouver),,,,,,,,,,,,,,,
13,49.2544714,-123.1149885,2019-09-13T13:56:58.000-07:00,cinema,The Park Theatre,,3440,,,,Cambie St.,,,,Cineplex,https://www.cineplex.com/Theatre/the-park-theatre,+1-604-709-3456,V5Z 2W8,Vancouver,,,,,local_knowledge,,,,,Q17111702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,49.2455783,-123.1854475,2019-09-13T13:57:03.000-07:00,theatre,Dunbar Theatre,,4555,,,,Dunbar Street,,,,,,,,Vancouver,,,,,,,,,,Q38377943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,49.2876052,-123.1242165,2019-03-22T02:54:39.000-07:00,college,Ashton College,,,,,,,,,,,https://www.ashtoncollege.ca/vancouver-campus/,,,,,,,,,,,,,Q4806022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,49.2819635,-123.1333845,2019-03-19T01:50:46.000-07:00,cafe,Blenz Coffee,,1203,,Mo-Su 06:00-00:00,coffee_shop,Davie Street,,,,,https://blenz.com/,+1-604-568-4428,V6E 1N4,Vancouver,,,,,survey,,,wlan,,Q4926090,,,,,,,,,,,,,no,,,,,,,,,,,,en:Blenz Coffee,,,,,,,,,,,,,,,
17,49.2805916,-123.1207429,2019-11-22T19:58:24.000-08:00,nightclub,Commodore Ballroom,,868,,,,Granville Street,,,,,http://www.commodoreballroom.ca/,+1-604-739-4550,V6Z 1K3,Vancouver,,,,,website,,,,,Q5153212,,,,,990,,music_venue,,,,,,,,,,Commodore Cabaret,,,,,,,,en:Commodore Ballroom,,,1929,,,,,,,,,,,,
